Threads,Number of EBs,Arrival Rate (Throughput),Average Response Time (ms),99p Latency (ms),Std Dev,Errors
default,350,49.446666666666665,13.417033835548606,276.0,41.107160089265875,10
thread_50,350,49.477222222222224,10.291964526641369,135.0,27.3451297008523,10
thread_100,350,49.55416666666667,13.371836664316561,273.0,41.350108521148464,8
thread_200,350,49.4125,11.247169538094763,107.0,33.47719507182548,10
default,700,98.85277777777777,10.325735350244914,154.0,36.703120469220686,18
thread_50,700,99.24555555555555,13.950495457104136,222.0,46.21213095358766,18
thread_100,700,98.97611111111111,9.122163281088675,102.0,25.296239220592778,18
thread_200,700,98.95805555555556,12.331025085655448,287.0,50.69624639462161,18
default,1050,148.82916666666668,10.868044982311194,272.0,35.346907699751185,56
thread_50,1050,148.27,12.46033703019222,199.0,46.86587157555145,46
thread_100,1050,148.23305555555555,12.650296939244324,272.0,42.42072492369661,30
thread_200,1050,148.35111111111112,10.59490197623393,166.0,28.92737453378048,38
default,1260,178.00472222222223,11.313153728916776,156.0,33.94598865646257,54
